,price_in,time_in,type,price_out,time_out,stocks,open,profit
AARTIIND,874.3,2021-07-03 00:36:14,short,874.3,2021-07-03 00:36:45,AARTIIND,862.0,0.0
ANDHRSUGAR,592.0,2021-07-03 00:36:14,short,592.0,2021-07-03 00:36:45,ANDHRSUGAR,577.9500122070312,0.0
AUROPHARMA,994.2,2021-07-03 00:36:14,short,994.2,2021-07-03 00:36:45,AUROPHARMA,1001.0999755859375,0.0
BEL,180.65,2021-07-03 00:36:14,long,180.65,2021-07-03 00:36:45,BEL,182.35000610351562,0.0
SHALBY,183.15,2021-07-03 00:36:14,short,183.15,2021-07-03 00:36:45,SHALBY,185.39999389648438,0.0
DHAMPURSUG,386.75,2021-07-03 00:36:14,short,386.75,2021-07-03 00:36:45,DHAMPURSUG,372.70001220703125,0.0
FACT,137.1,2021-07-03 00:36:14,long,137.1,2021-07-03 00:36:45,FACT,139.8000030517578,0.0
ZENSARTECH,335.5,2021-07-03 00:36:14,short,335.5,2021-07-03 00:36:45,ZENSARTECH,325.29998779296875,0.0
HSIL,252.5,2021-07-03 00:36:14,long,252.5,2021-07-03 00:36:45,HSIL,255.6999969482422,0.0
ITI,131.25,2021-07-03 00:36:16,short,131.25,2021-07-03 00:36:45,ITI,131.4499969482422,0.0
LIBERTSHOE,167.85,2021-07-03 00:36:16,long,167.85,2021-07-03 00:36:45,LIBERTSHOE,172.0,0.0
NOCIL,230.45,2021-07-03 00:36:16,short,230.45,2021-07-03 00:36:45,NOCIL,231.5,0.0
PHILIPCARB,236.05,2021-07-03 00:36:16,short,236.05,2021-07-03 00:36:45,PHILIPCARB,235.5,0.0
JUBLINGREA,543.25,2021-07-03 00:36:16,long,543.25,2021-07-03 00:36:45,JUBLINGREA,550.3499755859375,0.0
LXCHEM,240.7,2021-07-03 00:36:16,short,240.7,2021-07-03 00:36:45,LXCHEM,247.6999969482422,0.0
RIIL,774.9,2021-07-03 00:36:16,short,774.9,2021-07-03 00:36:45,RIIL,776.1500244140625,0.0
SAIL,124.35,2021-07-03 00:36:16,long,124.35,2021-07-03 00:36:45,SAIL,125.25,0.0
TATACHEM,767.7,2021-07-03 00:36:16,short,767.7,2021-07-03 00:36:45,TATACHEM,763.0499877929688,0.0
WSTCSTPAPR,262.35,2021-07-03 00:36:16,short,262.35,2021-07-03 00:36:45,WSTCSTPAPR,263.3999938964844,0.0
MARICO,519.85,2021-07-03 00:36:16,long,519.85,2021-07-03 00:36:45,MARICO,534.75,0.0
KRBL,255.95,2021-07-03 00:36:19,short,255.95,2021-07-03 00:36:45,KRBL,253.6999969482422,0.0
CCL,383.35,2021-07-03 00:36:19,short,383.35,2021-07-03 00:36:45,CCL,376.1499938964844,0.0
EVEREADY,317.8,2021-07-03 00:36:19,short,317.8,2021-07-03 00:36:45,EVEREADY,315.0,0.0
WELCORP,139.95,2021-07-03 00:36:19,long,139.95,2021-07-03 00:36:45,WELCORP,141.3000030517578,0.0
JKPAPER,219.6,2021-07-03 00:36:19,short,219.6,2021-07-03 00:36:45,JKPAPER,216.89999389648438,0.0
GRANULES,340.6,2021-07-03 00:36:19,short,340.6,2021-07-03 00:36:45,GRANULES,339.75,0.0
SWSOLAR,287.15,2021-07-03 00:36:19,short,287.15,2021-07-03 00:36:45,SWSOLAR,275.79998779296875,0.0
TRIVENI,205.5,2021-07-03 00:36:19,short,205.5,2021-07-03 00:36:45,TRIVENI,203.14999389648438,0.0
KEC,429.9,2021-07-03 00:36:19,long,429.9,2021-07-03 00:36:45,KEC,434.1000061035156,0.0
KEI,735.55,2021-07-03 00:36:19,long,735.55,2021-07-03 00:36:45,KEI,734.9500122070312,0.0
RSYSTEMS,156.25,2021-07-03 00:36:19,short,156.25,2021-07-03 00:36:45,RSYSTEMS,156.5500030517578,0.0
ALLCARGO,157.25,2021-07-03 00:36:19,short,157.25,2021-07-03 00:36:45,ALLCARGO,157.89999389648438,0.0
REDINGTON,293.0,2021-07-03 00:36:21,short,293.0,2021-07-03 00:36:45,REDINGTON,301.25,0.0
IBREALEST,112.3,2021-07-03 00:36:21,long,112.3,2021-07-03 00:36:45,IBREALEST,113.80000305175781,0.0
BFUTILITIE,474.85,2021-07-03 00:36:21,short,474.85,2021-07-03 00:36:45,BFUTILITIE,474.79998779296875,0.0
SPARC,238.75,2021-07-03 00:36:21,short,238.75,2021-07-03 00:36:45,SPARC,238.8000030517578,0.0
CSBBANK,348.0,2021-07-03 00:36:21,short,348.0,2021-07-03 00:36:45,CSBBANK,344.8500061035156,0.0
DELTACORP,187.55,2021-07-03 00:36:21,short,187.55,2021-07-03 00:36:45,DELTACORP,188.75,0.0
VGUARD,264.9,2021-07-03 00:36:21,short,264.9,2021-07-03 00:36:45,VGUARD,263.20001220703125,0.0
AJMERA,278.0,2021-07-03 00:36:21,short,278.0,2021-07-03 00:36:45,AJMERA,277.3500061035156,0.0
JSWENERGY,168.3,2021-07-03 00:36:21,long,168.3,2021-07-03 00:36:45,JSWENERGY,168.89999389648438,0.0
MANAPPURAM,173.1,2021-07-03 00:36:21,short,173.1,2021-07-03 00:36:45,MANAPPURAM,172.64999389648438,0.0
ASHOKA,112.2,2021-07-03 00:36:21,short,112.2,2021-07-03 00:36:45,ASHOKA,111.19999694824219,0.0
AVADHSUGAR,510.75,2021-07-03 00:36:21,short,510.75,2021-07-03 00:36:45,AVADHSUGAR,512.25,0.0
